,Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
3476,Long Keel,Cutter,12.80 m,9.75 m,3.56 m,76.74 m<sup>2</sup>,1.83 m,"9,979 kg","3,266 kg",16.90,32.73,299.73,FG,Iron,1974,,Robert Perry,36.83,1.67,1.74,14.33 m,6.19 m,12.89 m,5.03 m,,,44.32 m<sup>2</sup>,32.42 m<sup>2</sup>,16.90,15.60 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hans-christian-36/pdf"">PDF</a>",HANS CHRISTIAN 36,,Union Ship Co. (TAIWAN),,,Perkins,Diesel,,189 L,,435 L,,,,,,,
3477,Long Keel,Cutter,14.02 m,10.06 m,3.81 m,90.95 m<sup>2</sup>,1.83 m,"12,474 kg","4,672 kg",17.26,37.45,341.62,FG,Iron,1978,30,Harwood Ives,39.86,1.66,1.44,15.85 m,6.71 m,14.94 m,4.67 m,,,53.14 m<sup>2</sup>,34.89 m<sup>2</sup>,16.71,17.21 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hans-christian-38-mkii/pdf"">PDF</a>",HANS CHRISTIAN 38 MKII,,Anderson Yachts Ltd. (TAIWAN),,1989,,Diesel,,549 L,,644 L,,,,,,,
3478,Long Keel,Cutter,11.56 m,10.06 m,3.76 m,82.40 m<sup>2</sup>,1.83 m,"12,020 kg","4,445 kg",16.03,36.98,329.20,FG,Lead,1976,,Harwood Ives,41.86,1.66,1.47,15.09 m,6.71 m,13.66 m,4.66 m,,,50.59 m<sup>2</sup>,31.84 m<sup>2</sup>,16.03,16.51 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hans-christian-38t/pdf"">PDF</a>",HANS CHRISTIAN 38T,,Anderson Yachts Ltd. (TAIWAN),,1989,,Diesel,,379 L,,379 L,,,,,,16.61 m,
3479,Fin with rudder on skeg,Cutter,11.56 m,10.06 m,3.76 m,82.40 m<sup>2</sup>,1.83 m,"12,474 kg","4,445 kg",15.64,35.64,341.62,FG,,1976,,Harwood Ives,43.44,1.64,1.37,15.09 m,6.71 m,13.66 m,4.66 m,,,50.59 m<sup>2</sup>,31.84 m<sup>2</sup>,15.64,16.51 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hans-christian-38t-telstar-keel/pdf"">PDF</a>",HANS CHRISTIAN 38T (TELSTAR KEEL),,Anderson Yachts Ltd. (TAIWAN),,,,,,,,,,,,,,,
3480,Long Keel,Cutter,14.02 m,10.06 m,3.81 m,94.30 m<sup>2</sup>,1.83 m,"12,512 kg","4,666 kg",17.86,37.29,342.68,FG,,1978,,Harwood Ives,39.98,1.66,1.36,15.54 m,6.25 m,14.53 m,4.72 m,,,48.57 m<sup>2</sup>,34.32 m<sup>2</sup>,15.70,16.75 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hans-christian-39-pilothouse/pdf"">PDF</a>",HANS CHRISTIAN 39 PILOTHOUSE,,Hans Christian Yachts,,,,,,946 L,,379 L,,,,,,18.21 m,
3481,Fin with rudder on skeg,Cutter,12.44 m,11.23 m,4.04 m,106.84 m<sup>2</sup>,1.88 m,"16,103 kg","5,443 kg",17.11,33.80,317.23,FG,,1985,55,Scott Sprague,46.20,1.62,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hans-christian-41/pdf"">PDF</a>",HANS CHRISTIAN 41,,Anderson Yachts Ltd. (TAIWAN),,,Nanni,Diesel,,379 L,,757 L,,,,,,,
3482,Long Keel,Staysail Ketch,12.99 m,11.23 m,4.22 m,83.06 m<sup>2</sup>,1.83 m,"14,288 kg","5,579 kg",14.40,39.05,281.49,FG,,1974,130,Harwood Ives,38.18,1.76,1.67,15.39 m,6.65 m,14.23 m,4.48 m,,,51.21 m<sup>2</sup>,31.89 m<sup>2</sup>,14.41,16.77 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hans-christian-43/pdf"">PDF</a>",HANS CHRISTIAN 43,,Hans Christian (Ta Shing Ltd.),,1992,,Diesel,40,454 L,,787 L,,,,,,17.15 m,
3483,Long Keel,Staysail Ketch,13.69 m,10.46 m,4.27 m,88.44 m<sup>2</sup>,1.83 m,"16,783 kg","5,126 kg",13.78,30.54,408.26,FG,,1976,,Harwood Ives,45.38,1.68,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hans-christian-45/pdf"">PDF</a>",HANS CHRISTIAN 45,,Anderson Yachts Ltd. (TAIWAN),,,Pisces,Diesel,60,,,,,,,,,,
3484,Long Keel,Cutter,14.58 m,12.57 m,4.34 m,104.52 m<sup>2</sup>,1.98 m,"19,958 kg","6,668 kg",14.51,33.41,279.85,FG,,1985,30,Scott Sprague,45.73,1.62,1.69,16.46 m,8.08 m,14.27 m,5.33 m,,,66.47 m<sup>2</sup>,38.07 m<sup>2</sup>,14.51,18.33 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hans-christian-48/pdf"">PDF</a>",HANS CHRISTIAN 48,,Anderson Yachts Ltd. (TAIWAN),4JH3-HTE,,Yanmar,Diesel,100,560 L,,"1,003 L",,,,,,,
3485,Lifting Keel,,3.03 m,,1.35 m,5.80 m<sup>2</sup>,1.00 m,85 kg,30 kg,30.57,35.29,,FG,,2003,,Chris Mitchell,,3.10,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hansa-303-access/pdf"">PDF</a>",HANSA 303 (ACCESS),,Hansa Sailing,,,,,,,,,,,,,,,
3486,Keel/Cbrd.,Fractional  Sloop,5.85 m,4.85 m,1.65 m,14.03 m<sup>2</sup>,1.00 m,550 kg,150 kg,21.30,27.31,134.35,Wood/FG,,1947,,Henry Rasmussen,11.69,2.03,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hansa-jolle/pdf"">PDF</a>",HANSA-JOLLE,0.50 m,Abeking & Rasmussen,,,,,,,,,,,,,,,
3487,Fin w/spade rudder,Fractional  Sloop,8.90 m,7.80 m,2.70 m,34.00 m<sup>2</sup>,1.62 m,"2,600 kg","1,050 kg",18.34,40.39,152.70,FG,,1993,,Carl Beyer,18.16,1.98,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-291/pdf"">PDF</a>",HANSE 291,,Hanse Yachts (GER),,1995,,,,,,,,,,,,,
3488,Fin w/spade rudder,Fractional  Sloop,8.99 m,7.95 m,2.78 m,39.95 m<sup>2</sup>,1.68 m,"2,800 kg","1,000 kg",20.51,35.72,155.36,FG,Iron,1995,,Yachtzentrum Greifswald,18.53,1.99,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-292/pdf"">PDF</a>",HANSE 292,,Hanse Yachts (GER),MD 2010,1998,Volvo Penta,Diesel,10,42 L,,98 L,,,,,,,
3489,Fin w/bulb & spade rudder,Fractional  Sloop,8.99 m,7.95 m,2.71 m,39.02 m<sup>2</sup>,1.68 m,"2,800 kg","1,100 kg",20.03,39.28,155.36,FG,,2001,,Yachtzentrum Greifswald,19.17,1.94,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-300/pdf"">PDF</a>",HANSE 300,,HANSE Yachts,,,Volvo or Yanmar,Diesel,10,45 L,,98 L,,,,,,,
3490,Fin w/spade rudder,Fractional  Sloop,8.99 m,7.95 m,2.78 m,39.95 m<sup>2</sup>,1.68 m,"2,800 kg","1,100 kg",20.51,39.28,155.36,FG,,1997,,Yachtzentrum Greifswald,18.53,1.99,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-301/pdf"">PDF</a>",HANSE 301,,Hanse Yachts,MD 2010,2002,Volvo Penta,Diesel,10,42 L,,98 L,,,,,,,
3491,Fin w/bulb & spade rudder,Fractional  Sloop,8.99 m,8.07 m,3.20 m,50.17 m<sup>2</sup>,1.75 m,"3,860 kg","1,250 kg",20.80,32.39,204.61,FG,,2000,,Judel/Vrolijk,20.96,2.06,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-311/pdf"">PDF</a>",HANSE 311,,HANSE Yachts (GER),2020 sailrive,2006,Volvo Penta,Diesel,19,76 L,,132 L,,,,,,,
3492,Fin w/bulb & spade rudder,Fractional  Sloop,9.62 m,8.70 m,3.35 m,46.92 m<sup>2</sup>,1.85 m,"4,700 kg","1,500 kg",17.06,31.91,198.99,FG,,2016,,Judel/Vrolijk,22.33,2.02,2.64,11.80 m,3.47 m,11.50 m,4.25 m,,,20.46 m<sup>2</sup>,24.43 m<sup>2</sup>,16.32,12.30 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-315/pdf"">PDF</a>",HANSE 315,,Hanse Yachts,,,,Diesel,12,98 L,,231 L,,,,,,14.36 m,
3493,Fin w/bulb & spade rudder,Fractional  Sloop,9.45 m,8.30 m,3.20 m,60.90 m<sup>2</sup>,1.75 m,"4,300 kg","1,310 kg",23.49,30.46,209.61,FG,,2006,,judel/vrolijk & co,22.54,1.99,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-315-2006/pdf"">PDF</a>",HANSE 315 (2006),,Hanse Yachts AG (GER),,,,Diesel; Saildrive,21,50 L,,120 L,,,,,,14.75 m,
3494,Fin w/bulb & spade rudder,Fractional  Sloop,9.63 m,8.72 m,3.30 m,48.12 m<sup>2</sup>,1.85 m,"5,200 kg","1,480 kg",16.36,28.46,218.54,FG,,2004,,Judel/Vrolijk,25.15,1.92,2.42,12.45 m,3.87 m,11.70 m,4.10 m,,,24.10 m<sup>2</sup>,23.99 m<sup>2</sup>,16.34,13.04 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-320/pdf"">PDF</a>",HANSE 320,,Hanse Yachts,,,Yanmar,Diesel,22,121 L,,238 L,,,,,,,
3495,Fin w/bulb & spade rudder,Fractional  Sloop,9.63 m,8.72 m,3.30 m,48.12 m<sup>2</sup>,1.84 m,"5,200 kg","1,480 kg",16.36,28.46,218.54,FG,,2009,,Judel/Vrolijk,25.15,1.92,2.42,12.45 m,3.87 m,11.70 m,4.10 m,,,24.10 m<sup>2</sup>,23.99 m<sup>2</sup>,16.34,13.04 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-325/pdf"">PDF</a>",HANSE 325,,Hanse Yachts (GER),,,,Diesel,18,91 L,,238 L,,,,,,14.78 m,
3496,Fin w/spade rudder,Fractional  Sloop,10.08 m,8.20 m,3.08 m,61.97 m<sup>2</sup>,1.75 m,"4,500 kg","2,100 kg",23.19,46.67,227.54,FG,Iron,1993,,Håkan Södergren,24.50,1.88,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-331/pdf"">PDF</a>",HANSE 331,,Hanse Yachts (GER),MD 2020,2002,Volvo Penta,Diesel,19,49 L,,98 L,,,,,,,
3497,Fin w/bulb & spade rudder,Fractional  Sloop,10.35 m,8.90 m,3.40 m,54.53 m<sup>2</sup>,1.85 m,"5,150 kg","1,820 kg",18.66,35.34,203.59,FG,Iron,2003,,Judel/Vrolijk,23.08,1.99,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-341/pdf"">PDF</a>",HANSE 341,,HANSE Yachts,2020 saildrive,,Volvo Penta ,Diesel,19,,,,,,,,,,
3498,Fin w/bulb & spade rudder,Fractional  Sloop,10.35 m,9.40 m,3.40 m,69.40 m<sup>2</sup>,1.85 m,"5,100 kg","1,660 kg",23.90,32.55,171.12,FG,,2006,,Judel/Vrolijk,22.03,1.99,3.38,13.92 m,3.91 m,13.23 m,4.42 m,,,27.22 m<sup>2</sup>,29.23 m<sup>2</sup>,19.44,14.46 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-342/pdf"">PDF</a>",HANSE 342,1.58 m,Hanse Yachts,3YM30,,Yanmar,Diesel,21,79 L,,238 L,,,,,,16.05 m,
3499,Fin w/bulb & spade rudder,Fractional  Sloop,10.39 m,9.53 m,3.48 m,53.23 m<sup>2</sup>,1.85 m,"6,187 kg","2,028 kg",16.12,32.77,199.53,FG,Iron,2013,,Judel/Vrolijk,25.63,1.92,2.61,13.41 m,3.83 m,12.67 m,4.34 m,,,25.71 m<sup>2</sup>,27.52 m<sup>2</sup>,16.12,13.95 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-345/pdf"">PDF</a>",HANSE 345,,Hanse Yachts,,2017,Volvo,Diesel,18,159 L,,227 L,,,,,,15.72 m,
3500,Fin w/spade rudder,Fractional  Sloop,9.99 m,9.55 m,3.50 m,58.53 m<sup>2</sup>,1.95 m,"6,300 kg","2,300 kg",17.51,36.51,201.62,"Balsa core sandwich set in polyester resin, exterior layer of vinylester",Cast iron,2018,,Judel/Vrolijk,26.19,1.91,2.63,13.60 m,3.88 m,13.10 m,4.40 m,,14.80 m,26.39 m<sup>2</sup>,28.83 m<sup>2</sup>,16.52,14.14 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-348/pdf"">PDF</a>",HANSE 348,,Hanse Yachts,,,Yanmar,Diesel,21,160 L,,230 L,,,,,,16.25 m,
3501,Fin w/bulb & spade rudder,Fractional  Sloop,10.59 m,9.60 m,3.55 m,64.75 m<sup>2</sup>,1.92 m,"6,360 kg","1,845 kg",19.25,29.01,200.26,FG,,2007,,Judel/Vrolijk,25.36,1.94,2.76,14.10 m,4.20 m,13.18 m,4.45 m,,,29.61 m<sup>2</sup>,29.33 m<sup>2</sup>,17.52,14.71 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-350/pdf"">PDF</a>",HANSE 350,,Hanse Yachts,,,Yanmar,Diesel,22,121 L,,238 L,,,,,,16.38 m,
3502,Fin w/bulb & spade rudder,Fractional  Sloop,10.59 m,9.60 m,3.55 m,58.90 m<sup>2</sup>,1.92 m,"6,360 kg","1,845 kg",17.51,29.01,200.26,FG,,2009,,Judel/Vrolijk,25.36,1.94,2.76,14.10 m,4.20 m,13.18 m,4.45 m,,,29.61 m<sup>2</sup>,29.33 m<sup>2</sup>,17.52,14.71 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-355/pdf"">PDF</a>",HANSE 355,,Hanse Yachts (GER),,,,Diesel,18,91 L,,238 L,,,,,,19.43 m,
3503,Fin w/bulb & spade rudder,Fractional  Sloop,11.35 m,10.25 m,3.75 m,68.19 m<sup>2</sup>,1.95 m,"7,200 kg","2,280 kg",18.66,31.66,186.31,FG,,2006,950,Judel/Vrolijk,24.99,1.96,3.08,15.00 m,4.15 m,14.40 m,5.15 m,,,31.13 m<sup>2</sup>,37.08 m<sup>2</sup>,18.67,15.56 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-370/pdf"">PDF</a>",HANSE 370,,Hanse Yachts,3YM30,2011,Yanmar,Diesel,29,140 L,,299 L,,,,,,17.75 m,
3504,Fin w/bulb & spade rudder,Fractional  Sloop,11.25 m,9.85 m,3.59 m,,1.98 m,"5,950 kg","2,245 kg",,37.73,173.45,FG,,1999,,Judel/Vrolijk,22.53,2.00,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-371/pdf"">PDF</a>",HANSE 371,,HANSE Yachts,,2005,Volvo Penta 2030,Diesel,30,,,,,,,,,,
3505,Fin w/bulb & spade rudder,Fractional  Sloop,11.25 m,9.85 m,3.59 m,65.96 m<sup>2</sup>,1.98 m,"6,600 kg","2,400 kg",19.13,36.36,192.40,FG,Lead,1999,,Judel/Vrolijk,24.99,1.93,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-371ds/pdf"">PDF</a>",HANSE 371DS,,Hanse,MD 2030,2005,Volvo,Diesel,,79 L,,220 L,,,,,,,
3506,Fin w/bulb & spade rudder,Fractional  Sloop,11.40 m,10.40 m,3.88 m,67.26 m<sup>2</sup>,1.99 m,"7,600 kg","2,200 kg",17.76,28.95,188.31,FG w/balsa sandwich,,2011,,Judel/Vrolijk,24.91,1.99,2.94,14.70 m,4.30 m,14.00 m,5.10 m,,,31.61 m<sup>2</sup>,35.69 m<sup>2</sup>,17.77,15.32 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-385/pdf"">PDF</a>",HANSE 385,,Hanse Yachts (GER),,,,Diesel,28,159 L,,318 L,,,,,,17.30 m,
3507,Fin w/bulb & spade rudder,Fractional  Sloop,11.41 m,10.40 m,3.90 m,71.91 m<sup>2</sup>,2.03 m,"8,090 kg","2,390 kg",18.21,29.54,200.45,FG w/balsa sandwich,,2017,,Judel/Vrolijk & Co.,26.32,1.96,2.74,14.90 m,4.31 m,14.30 m,5.10 m,4.60 m,15.52 m,32.11 m<sup>2</sup>,36.46 m<sup>2</sup>,17.36,15.51 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-388/pdf"">PDF</a>",HANSE 388,1.62 m,Hanse Yachts,,,,Diesel,30,159 L,,295 L,,,,,,17.60 m,
3508,Fin w/bulb & spade rudder,Fractional  Sloop,12.23 m,10.80 m,4.04 m,83.24 m<sup>2</sup>,1.98 m,"8,500 kg","2,915 kg",20.40,34.29,188.10,FG,Lead,2006,,Judel/Vrolijk,25.18,2.00,3.25,16.50 m,4.62 m,16.20 m,5.57 m,,,38.12 m<sup>2</sup>,45.11 m<sup>2</sup>,20.39,17.13 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-400/pdf"">PDF</a>",HANSE 400,,Hanse Yachts,,,,Diesel,,140 L,,299 L,,,,,,,
3509,Fin w/bulb & spade rudder,Fractional  Sloop,12.35 m,10.90 m,4.05 m,82.10 m<sup>2</sup>,1.98 m,"9,700 kg","3,460 kg",18.42,35.67,208.77,FG,Lead,2001,,Judel/Vrolijk,28.35,1.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-411/pdf"">PDF</a>",HANSE 411,,HANSE Yachts,MD2040,2006,Volvo Penta,Diesel,40,100 L,2.00 m,220 L,,,,,,19.55 m,
3510,Fin w/bulb & spade rudder,Fractional  Sloop,12.40 m,11.40 m,4.17 m,83.52 m<sup>2</sup>,2.10 m,"8,900 kg","2,900 kg",19.85,32.58,167.44,FG,,2012,,Judel/Vrolijk,24.25,2.03,3.49,16.47 m,4.68 m,16.17 m,5.57 m,,,38.53 m<sup>2</sup>,45.02 m<sup>2</sup>,19.85,17.12 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-415/pdf"">PDF</a>",HANSE 415,,Hanse Yachts (GER),,2016,,Diesel,38,159 L,,318 L,,,,,,19.61 m,
3511,Fin w/bulb & spade rudder,Fractional  Sloop,12.40 m,11.40 m,4.17 m,86.80 m<sup>2</sup>,2.07 m,"10,150 kg","2,860 kg",18.90,28.18,190.96,GRP w/balsa sandwich,Cast iron,2017,,judel/vrolijk & co.,27.65,1.95,2.97,16.59 m,4.70 m,16.17 m,5.57 m,,,38.99 m<sup>2</sup>,45.02 m<sup>2</sup>,18.29,17.24 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-418/pdf"">PDF</a>",HANSE 418,,Hanse Yachts,,,,Diesel; Saildrive,39,160 L,,475 L,,,,,,19.60 m,
3512,Fin w/bulb & spade rudder,Fractional  Sloop,13.30 m,12.00 m,4.18 m,94.95 m<sup>2</sup>,2.16 m,"10,900 kg","3,200 kg",19.71,29.36,175.80,FG,Lead,2005,,Judel/Vrolijk,27.96,1.90,3.35,18.00 m,4.70 m,17.70 m,5.95 m,,,42.30 m<sup>2</sup>,52.65 m<sup>2</sup>,19.72,18.60 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-430/pdf"">PDF</a>",HANSE 430,,Hanse Yachts,,,Yanmar,Diesel,40,231 L,,326 L,,,,,,,
3513,Fin w/bulb & spade rudder,Fractional  Sloop,13.52 m,12.20 m,4.38 m,94.85 m<sup>2</sup>,2.25 m,"11,000 kg","3,500 kg",19.58,31.82,168.78,FG,,2010,,Judel/Vrolijk,26.07,1.99,3.44,17.52 m,5.25 m,16.55 m,5.90 m,,,45.98 m<sup>2</sup>,48.83 m<sup>2</sup>,19.57,18.29 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-445/pdf"">PDF</a>",HANSE 445,,Hanse Yachts (GER),,,,Diesel,53,220 L,,450 L,,,,,,,
3514,Fin w/bulb & spade rudder,Fractional  Sloop,13.55 m,12.20 m,4.38 m,102.99 m<sup>2</sup>,2.25 m,"11,600 kg","3,500 kg",20.52,30.17,177.99,GRP,Cast iron,2014,,Judel/Vrolijk,27.47,1.95,3.33,17.80 m,5.50 m,17.00 m,5.95 m,,,48.94 m<sup>2</sup>,50.57 m<sup>2</sup>,19.82,18.63 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-455/pdf"">PDF</a>",HANSE 455,,Hanse Yachts,,2017,,Diesel,53,220 L,,450 L,,,,,,20.60 m,
3515,Fin w/bulb & spade rudder,Fractional  Sloop,14.04 m,12.20 m,4.38 m,100.50 m<sup>2</sup>,2.23 m,"11,700 kg","3,400 kg",19.91,29.06,179.52,GRP w/1st layer Vinylester resin,Cast iron,2018,,Judel/Vrolijk & Co.,27.39,1.95,3.29,17.80 m,5.50 m,17.00 m,5.95 m,,,48.94 m<sup>2</sup>,50.57 m<sup>2</sup>,19.71,18.63 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-458/pdf"">PDF</a>",HANSE 458,,Hanse Yachts,,,,Diesel; Saildrive,57,210 L,,450 L,,,,,,20.60 m,
3516,Fin w/bulb & spade rudder,Fractional  Sloop,14.60 m,13.05 m,4.79 m,114.00 m<sup>2</sup>,2.25 m,"12,560 kg","3,360 kg",21.54,26.75,157.56,FG,Cast iron,2022,,Berret-Racoupeau,24.62,2.08,3.50,17.96 m,5.14 m,18.19 m,5.85 m,,,46.14 m<sup>2</sup>,53.20 m<sup>2</sup>,18.77,18.68 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-460/pdf"">PDF</a>",HANSE 460,,Hanse Yachts (GER),,,,Diesel,57,210 L,,450 L,,,,,,21.90 m,
3517,Fin Keel w/bulb,Fractional  Sloop,14.00 m,12.60 m,4.47 m,107.77 m<sup>2</sup>,2.30 m,"11,900 kg","3,440 kg",21.11,28.91,165.78,FG,,2005,,Judel/Vrolijk,26.55,1.98,3.67,19.09 m,5.32 m,20.00 m,5.70 m,,,50.76 m<sup>2</sup>,57.00 m<sup>2</sup>,21.10,19.81 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-461/pdf"">PDF</a>",HANSE 461,,Hanse Yachts,4JH4,,Yanmar,Diesel,75,250 L,,401 L,,,,,,24.43 m,
3518,Fin w/bulb & spade rudder,Fractional  Sloop,14.31 m,12.60 m,4.46 m,110.18 m<sup>2</sup>,2.35 m,"12,200 kg","3,550 kg",21.22,29.10,169.95,FG,Lead,2005,,Judel/Vrolijk,27.12,1.96,3.62,20.00 m,5.32 m,20.00 m,5.70 m,,,53.19 m<sup>2</sup>,57.00 m<sup>2</sup>,21.23,20.70 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-470/pdf"">PDF</a>",HANSE 470,,Hanse Yachts,,,Yanmar,Diesel,75,250 L,,379 L,,,,,,24.43 m,
3519,Fin w/bulb & spade rudder,Fractional  Sloop,15.40 m,13.54 m,4.75 m,113.62 m<sup>2</sup>,2.38 m,"14,000 kg","4,000 kg",19.97,28.57,157.21,FG,,2011,,Judel/Vrolijk,26.63,1.99,3.67,19.55 m,5.85 m,18.35 m,6.15 m,,,57.17 m<sup>2</sup>,56.43 m<sup>2</sup>,19.97,20.41 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-495/pdf"">PDF</a>",HANSE 495,,Hanse Yachts (GER),,2012,,Diesel,72,299 L,,651 L,,,,,,20.30 m,
3520,Fin w/bulb & spade rudder,Fractional  Sloop,15.30 m,13.45 m,4.75 m,119.01 m<sup>2</sup>,2.38 m,"14,400 kg","4,005 kg",20.53,27.81,164.91,FG,Cast iron,2012,,Judel/Vrolijk,27.57,1.97,3.50,19.56 m,5.84 m,18.36 m,6.14 m,,,57.10 m<sup>2</sup>,56.42 m<sup>2</sup>,19.58,20.41 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-505/pdf"">PDF</a>",HANSE 505,,Hanse Yachts,,,,Diesel,72,280 L,,630 L,,,,,,22.10 m,
3521,Fin w/bulb & spade rudder,Solent,15.55 m,13.54 m,4.75 m,117.80 m<sup>2</sup>,2.40 m,"14,700 kg","4,050 kg",20.04,27.55,165.07,GRP w/1st layer Vinylester resin and balsa sandwich,Cast iron,2018,,Judel/Vrolijk & Co.,27.87,1.96,3.49,19.10 m,6.13 m,18.35 m,6.15 m,,,58.53 m<sup>2</sup>,56.43 m<sup>2</sup>,19.56,20.06 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-508/pdf"">PDF</a>",HANSE 508,,Hanse Yachts (GER),,,,Diesel; Saildrive,80,280 L,,630 L,,,,,,22.05 m,
3522,Fin w/bulb & spade rudder,Fractional  Sloop,16.20 m,14.55 m,4.93 m,133.32 m<sup>2</sup>,2.77 m,"19,000 kg","6,600 kg",19.12,34.74,171.76,FG,,2003,,Judel/Vrolijk,32.25,1.87,3.34,21.25 m,5.99 m,21.45 m,6.50 m,,,63.64 m<sup>2</sup>,69.69 m<sup>2</sup>,19.12,22.08 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-531/pdf"">PDF</a>",HANSE 531,,Hanse Yachts,4JH3G,2007,Yanmar,Diesel,100,401 L,,787 L,,,,,,26.25 m,
3523,Fin w/bulb & spade rudder,Fractional  Sloop,16.08 m,14.60 m,4.91 m,133.32 m<sup>2</sup>,2.80 m,"18,700 kg","5,800 kg",19.32,31.02,167.46,FG,Lead,2006,,Judel/Vrolijk,31.88,1.87,3.42,21.25 m,5.99 m,21.45 m,6.50 m,,,63.64 m<sup>2</sup>,69.72 m<sup>2</sup>,19.33,22.08 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-540e/pdf"">PDF</a>",HANSE 540E,,Hanse Yachts,,,Volvo,Diesel,110,375 L,,689 L,,,,,,,
3524,Fin w/bulb & spade rudder,Fractional  Sloop,16.20 m,14.60 m,4.91 m,134.43 m<sup>2</sup>,2.80 m,"18,700 kg","5,800 kg",19.48,31.02,167.46,FG,Lead,2008,,Judel/Vrolijk,31.80,1.87,3.44,21.25 m,6.09 m,21.45 m,6.50 m,,,64.71 m<sup>2</sup>,69.72 m<sup>2</sup>,19.48,22.11 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-545/pdf"">PDF</a>",HANSE 545,,Hanse Yachts,,,Yanmar,Diesel,110,401 L,,700 L,,,,,,26.27 m,
3525,Fin w/bulb & spade rudder,Fractional  Sloop,16.22 m,14.90 m,5.05 m,136.10 m<sup>2</sup>,2.55 m,"19,600 kg","6,400 kg",19.12,32.65,165.18,GRP w/balsa sandwich,Cast iron,2017,,judel/vrolijk & co.,31.66,1.89,3.32,21.00 m,6.10 m,20.60 m,6.40 m,,,64.04 m<sup>2</sup>,65.93 m<sup>2</sup>,18.26,21.87 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-548/pdf"">PDF</a>",HANSE 548,,Hanse Yachts,,,,Diesel; shaft drive,110,520 L,,770 L,,,,,,24.70 m,
