,Construction
fg/kevlar w/balsa,0.00011910433539780847
fg (airex core),0.00011910433539780847
wood mahogany on oak,0.00011910433539780847
fg w/divinycell sandwich core,0.00011910433539780847
fg balsa core,0.00011910433539780847
"fg, pvc foam",0.00011910433539780847
fg foam w/carbon,0.00011910433539780847
hpde (roto molded),0.00011910433539780847
fg sandwich w/carbon,0.00011910433539780847
vinylester/fiberglass,0.00011910433539780847
acp (foam & plastic sandwich),0.00011910433539780847
plywood & oak,0.00011910433539780847
steel (triple chine),0.00011910433539780847
wood - carvel (mahogany on oak),0.00011910433539780847
plwood/multi-chine,0.00011910433539780847
wood (pine on oak),0.00011910433539780847
fg w/ vinylester resin and pvc foam core,0.00011910433539780847
aluminium or frp,0.00011910433539780847
wood/single chine,0.00011910433539780847
ply with single chine or fg,0.00011910433539780847
polyester composite,0.00011910433539780847
wood or foam core,0.00011910433539780847
fg hull and wood deck opt,0.00011910433539780847
fg/pre-preg foam core w/carbon,0.00011910433539780847
fg single chine,0.00011910433539780847
gf/alloy,0.00011910433539780847
