,Designer
james wharram/hanneke boon,0.00023820867079561695
johnson/melges boat works,0.00023820867079561695
tom manders,0.00023820867079561695
lazarra,0.00023820867079561695
william crealock/w. atkin,0.00023820867079561695
kurt reinke,0.00023820867079561695
glenn & murray corcoran,0.00023820867079561695
christoph rassy/olle enderlein,0.00023820867079561695
c. mills/com-pac,0.00023820867079561695
edmunds,0.00023820867079561695
van essen/gulcher,0.00023820867079561695
andré mauric,0.00023820867079561695
hein driehuyzen/don clark,0.00023820867079561695
w. tripp/watkins yachts,0.00023820867079561695
raymond hunt & assoc,0.00023820867079561695
joubert-nivelt/flahault,0.00023820867079561695
"john g. alden & assoc,",0.00023820867079561695
van de stadt/finot,0.00023820867079561695
leen hoogmoed,0.00023820867079561695
pat patterson,0.00023820867079561695
george olsen,0.00023820867079561695
a. m. deering,0.00023820867079561695
g. drummond-bayne,0.00023820867079561695
m. lombard,0.00023820867079561695
jacques faroux,0.00023820867079561695
john beetle,0.00023820867079561695
denys a. rayner,0.00023820867079561695
john spencer,0.00023820867079561695
frank douglas/gerry douglas,0.00023820867079561695
h. amel  & j. carteau,0.00023820867079561695
peter norlin and jens ostmann,0.00023820867079561695
w. tripp/dolf lecomte,0.00023820867079561695
peter bosgraaf,0.00023820867079561695
m. joubert/b. nivelt,0.00023820867079561695
walter scott & t. r. allmand,0.00023820867079561695
sovereign design group,0.00023820867079561695
julien marin,0.00023820867079561695
german frers sr,0.00023820867079561695
ted brewer/jack corey,0.00023820867079561695
jean-louis noir,0.00023820867079561695
pierre deschamps,0.00023820867079561695
stanley butler/edwin mairs,0.00023820867079561695
j & j designs/olivier poncin,0.00023820867079561695
william e. cook,0.00023820867079561695
rod johnstone,0.00023820867079561695
ackerman,0.00023820867079561695
elvstrom & kjaerulff,0.00023820867079561695
g. diller & h. schwill,0.00023820867079561695
bill higgins/don ansley,0.00023820867079561695
eric maizey,0.00023820867079561695
riccardo baffigo,0.00023820867079561695
charles ludwig,0.00023820867079561695
nacra design group,0.00023820867079561695
pierre gutelle,0.00023820867079561695
fred bingham/bruce bingham,0.00023820867079561695
d. peterson (unauthorized)/bayliner,0.00023820867079561695
arthur edmunds/sovereign,0.00023820867079561695
berret-raccoupeau yacht design,0.00023820867079561695
barney lehman,0.00023820867079561695
günther thomat,0.00023820867079561695
adrian keough/scott jutson,0.00023820867079561695
philippe staempfli,0.00023820867079561695
hans geissler,0.00023820867079561695
claude a. smith,0.00023820867079561695
leif angermark,0.00023820867079561695
willem de vries-lentsch,0.00023820867079561695
michael schallmann,0.00023820867079561695
marc lombard/diedre design,0.00023820867079561695
lindblom,0.00023820867079561695
harry hallberg,0.00023820867079561695
camper & nicholson/ray wall,0.00023820867079561695
bo olsson,0.00023820867079561695
arthur edmunds/sparkman & stephens,0.00023820867079561695
jan kjærulff,0.00023820867079561695
ray wall/camper & nicholson,0.00023820867079561695
paul kettenberg,0.00023820867079561695
harold s. glander,0.00023820867079561695
noel honey/alex trethewey/steve marten,0.00023820867079561695
ron given,0.00023820867079561695
joe nash,0.00023820867079561695
d. tortarolo,0.00023820867079561695
jacques (koos) de ridder,0.00023820867079561695
w. j. roué,0.00023820867079561695
jim monroe,0.00023820867079561695
herbert baggs/w. scott hayward,0.00023820867079561695
simonis & voogd,0.00023820867079561695
aldo renai,0.00023820867079561695
g. taylor newell,0.00023820867079561695
paul elvstrom/jan kjaerulff,0.00023820867079561695
